stock_code,subscription_date,event_context,subscriber_name,amount_subscribed,shares_subscribed,price_per_share,source,evidence_text
688795,2022-12,增资及股权转让,和谐健康,50000.0,,,heading,"， 和谐健康以50,000 万元认购"
688795,2022-12,增资及股权转让,红杉资本,600.0,,,heading,；红杉资本以600 万元认购
688795,2022-12,增资及股权转让,翊辰投资,26000.0,,,heading,"；翊辰投资以26,000 万元认购"
688795,2023-10,增资,厚雪资本,12000.0,,,heading,"；厚雪资本以12,000 万元认购"
688795,2023-10,增资,福建拓锋,20000.0,,,heading,"， 福建拓锋以20,000 万元认购"
688795,2023-10,增资,策源电子 基金,5000.0,,,heading,"；策源电子 基金以5,000 万元认购"
688795,2023-10,增资,集美中和,10000.0,,,heading,"；集美中和以10,000 万元认购"
688795,2024-12,增资,千曦资本,,,,week10_long_syndicate_alias_v1,"股权 
688802,2025-03,增资,中金启辰无锡,,,,week10_adaptive_v1,"报告期第七1、共青亚昌宏硕、电信方舟、混沌投资、嘉兴普超、 次增资 经纬创壹号、经纬创叁号、河南科投、海南泰达、富海 精选二号、卓源芯力、葛卫东、南京智沐曦、交控金石、 金石精密、中金上汽、金华盛赫、联想中小、万石拾壹 号、佛山港粤、晓池摩山、南京盈研、宜宾和谐、社保 长三角、成都交子、海融通、春华景智、华兴航科、睿 石德晟、杭州丹贝、晋安三创、富海曦芯、芯能方安、 芯能方华、图灵安捷、共青亚昌辰柠、九安海棠、砺思 星沐、中科蓝讯、七匹狼、聚源振芯、聚源海河、经纬 厦门、经纬创华、中金启辰无锡、中金启辰苏州、综改 试验、谦益永兴、同创伟业、娃哈哈、青岛立涌、新华 文泰、红杉雅恒、晶凯景宽、普华杭州、湘投一村、颍 上德势、国寿资本、丽水巧达、浦信熠芯、源起开来、 苏州溢漕、淳中科技、中证投资、嘉兴瀚舟、前瞻远至、 正和启迪、戎艳琳以合计722,106 万元人民币的投资金 额，认购公司本次发行新股5,051,257 股； 2、本次增资扩股完成后，公司注册资本为14,739,557 元人民币，股份总数为14,739,557 股。"
688802,2025-03,增资,中金启辰苏州,,,,week10_adaptive_v1,"报告期第七1、共青亚昌宏硕、电信方舟、混沌投资、嘉兴普超、 次增资 经纬创壹号、经纬创叁号、河南科投、海南泰达、富海 精选二号、卓源芯力、葛卫东、南京智沐曦、交控金石、 金石精密、中金上汽、金华盛赫、联想中小、万石拾壹 号、佛山港粤、晓池摩山、南京盈研、宜宾和谐、社保 长三角、成都交子、海融通、春华景智、华兴航科、睿 石德晟、杭州丹贝、晋安三创、富海曦芯、芯能方安、 芯能方华、图灵安捷、共青亚昌辰柠、九安海棠、砺思 星沐、中科蓝讯、七匹狼、聚源振芯、聚源海河、经纬 厦门、经纬创华、中金启辰无锡、中金启辰苏州、综改 试验、谦益永兴、同创伟业、娃哈哈、青岛立涌、新华 文泰、红杉雅恒、晶凯景宽、普华杭州、湘投一村、颍 上德势、国寿资本、丽水巧达、浦信熠芯、源起开来、 苏州溢漕、淳中科技、中证投资、嘉兴瀚舟、前瞻远至、 正和启迪、戎艳琳以合计722,106 万元人民币的投资金 额，认购公司本次发行新股5,051,257 股； 2、本次增资扩股完成后，公司注册资本为14,739,557 元人民币，股份总数为14,739,557 股。"
688802,2025-03,增资,共青亚昌辰柠,,,,week10_adaptive_v1,"报告期第七1、共青亚昌宏硕、电信方舟、混沌投资、嘉兴普超、 次增资 经纬创壹号、经纬创叁号、河南科投、海南泰达、富海 精选二号、卓源芯力、葛卫东、南京智沐曦、交控金石、 金石精密、中金上汽、金华盛赫、联想中小、万石拾壹 号、佛山港粤、晓池摩山、南京盈研、宜宾和谐、社保 长三角、成都交子、海融通、春华景智、华兴航科、睿 石德晟、杭州丹贝、晋安三创、富海曦芯、芯能方安、 芯能方华、图灵安捷、共青亚昌辰柠、九安海棠、砺思 星沐、中科蓝讯、七匹狼、聚源振芯、聚源海河、经纬 厦门、经纬创华、中金启辰无锡、中金启辰苏州、综改 试验、谦益永兴、同创伟业、娃哈哈、青岛立涌、新华 文泰、红杉雅恒、晶凯景宽、普华杭州、湘投一村、颍 上德势、国寿资本、丽水巧达、浦信熠芯、源起开来、 苏州溢漕、淳中科技、中证投资、嘉兴瀚舟、前瞻远至、 正和启迪、戎艳琳以合计722,106 万元人民币的投资金 额，认购公司本次发行新股5,051,257 股； 2、本次增资扩股完成后，公司注册资本为14,739,557 元人民币，股份总数为14,739,557 股。"
688802,2025-03,增资,南京智沐曦,,,,week10_adaptive_v1,"报告期第七1、共青亚昌宏硕、电信方舟、混沌投资、嘉兴普超、 次增资 经纬创壹号、经纬创叁号、河南科投、海南泰达、富海 精选二号、卓源芯力、葛卫东、南京智沐曦、交控金石、 金石精密、中金上汽、金华盛赫、联想中小、万石拾壹 号、佛山港粤、晓池摩山、南京盈研、宜宾和谐、社保 长三角、成都交子、海融通、春华景智、华兴航科、睿 石德晟、杭州丹贝、晋安三创、富海曦芯、芯能方安、 芯能方华、图灵安捷、共青亚昌辰柠、九安海棠、砺思 星沐、中科蓝讯、七匹狼、聚源振芯、聚源海河、经纬 厦门、经纬创华、中金启辰无锡、中金启辰苏州、综改 试验、谦益永兴、同创伟业、娃哈哈、青岛立涌、新华 文泰、红杉雅恒、晶凯景宽、普华杭州、湘投一村、颍 上德势、国寿资本、丽水巧达、浦信熠芯、源起开来、 苏州溢漕、淳中科技、中证投资、嘉兴瀚舟、前瞻远至、 正和启迪、戎艳琳以合计722,106 万元人民币的投资金 额，认购公司本次发行新股5,051,257 股； 2、本次增资扩股完成后，公司注册资本为14,739,557 元人民币，股份总数为14,739,557 股。"
688802,2025-03,增资,国寿资本,,,,week10_adaptive_v1,"报告期第七1、共青亚昌宏硕、电信方舟、混沌投资、嘉兴普超、 次增资 经纬创壹号、经纬创叁号、河南科投、海南泰达、富海 精选二号、卓源芯力、葛卫东、南京智沐曦、交控金石、 金石精密、中金上汽、金华盛赫、联想中小、万石拾壹 号、佛山港粤、晓池摩山、南京盈研、宜宾和谐、社保 长三角、成都交子、海融通、春华景智、华兴航科、睿 石德晟、杭州丹贝、晋安三创、富海曦芯、芯能方安、 芯能方华、图灵安捷、共青亚昌辰柠、九安海棠、砺思 星沐、中科蓝讯、七匹狼、聚源振芯、聚源海河、经纬 厦门、经纬创华、中金启辰无锡、中金启辰苏州、综改 试验、谦益永兴、同创伟业、娃哈哈、青岛立涌、新华 文泰、红杉雅恒、晶凯景宽、普华杭州、湘投一村、颍 上德势、国寿资本、丽水巧达、浦信熠芯、源起开来、 苏州溢漕、淳中科技、中证投资、嘉兴瀚舟、前瞻远至、 正和启迪、戎艳琳以合计722,106 万元人民币的投资金 额，认购公司本次发行新股5,051,257 股； 2、本次增资扩股完成后，公司注册资本为14,739,557 元人民币，股份总数为14,739,557 股。"
688802,2025-03,增资,富海精选二号,,,,week10_adaptive_v1,"报告期第七1、共青亚昌宏硕、电信方舟、混沌投资、嘉兴普超、 次增资 经纬创壹号、经纬创叁号、河南科投、海南泰达、富海 精选二号、卓源芯力、葛卫东、南京智沐曦、交控金石、 金石精密、中金上汽、金华盛赫、联想中小、万石拾壹 号、佛山港粤、晓池摩山、南京盈研、宜宾和谐、社保 长三角、成都交子、海融通、春华景智、华兴航科、睿 石德晟、杭州丹贝、晋安三创、富海曦芯、芯能方安、 芯能方华、图灵安捷、共青亚昌辰柠、九安海棠、砺思 星沐、中科蓝讯、七匹狼、聚源振芯、聚源海河、经纬 厦门、经纬创华、中金启辰无锡、中金启辰苏州、综改 试验、谦益永兴、同创伟业、娃哈哈、青岛立涌、新华 文泰、红杉雅恒、晶凯景宽、普华杭州、湘投一村、颍 上德势、国寿资本、丽水巧达、浦信熠芯、源起开来、 苏州溢漕、淳中科技、中证投资、嘉兴瀚舟、前瞻远至、 正和启迪、戎艳琳以合计722,106 万元人民币的投资金 额，认购公司本次发行新股5,051,257 股； 2、本次增资扩股完成后，公司注册资本为14,739,557 元人民币，股份总数为14,739,557 股。"
688802,2025-03,增资,淳中科技,,,,week10_adaptive_v1,"报告期第七1、共青亚昌宏硕、电信方舟、混沌投资、嘉兴普超、 次增资 经纬创壹号、经纬创叁号、河南科投、海南泰达、富海 精选二号、卓源芯力、葛卫东、南京智沐曦、交控金石、 金石精密、中金上汽、金华盛赫、联想中小、万石拾壹 号、佛山港粤、晓池摩山、南京盈研、宜宾和谐、社保 长三角、成都交子、海融通、春华景智、华兴航科、睿 石德晟、杭州丹贝、晋安三创、富海曦芯、芯能方安、 芯能方华、图灵安捷、共青亚昌辰柠、九安海棠、砺思 星沐、中科蓝讯、七匹狼、聚源振芯、聚源海河、经纬 厦门、经纬创华、中金启辰无锡、中金启辰苏州、综改 试验、谦益永兴、同创伟业、娃哈哈、青岛立涌、新华 文泰、红杉雅恒、晶凯景宽、普华杭州、湘投一村、颍 上德势、国寿资本、丽水巧达、浦信熠芯、源起开来、 苏州溢漕、淳中科技、中证投资、嘉兴瀚舟、前瞻远至、 正和启迪、戎艳琳以合计722,106 万元人民币的投资金 额，认购公司本次发行新股5,051,257 股； 2、本次增资扩股完成后，公司注册资本为14,739,557 元人民币，股份总数为14,739,557 股。"
688802,2025-03,增资,社保长三角,,,,week10_adaptive_v1,"报告期第七1、共青亚昌宏硕、电信方舟、混沌投资、嘉兴普超、 次增资 经纬创壹号、经纬创叁号、河南科投、海南泰达、富海 精选二号、卓源芯力、葛卫东、南京智沐曦、交控金石、 金石精密、中金上汽、金华盛赫、联想中小、万石拾壹 号、佛山港粤、晓池摩山、南京盈研、宜宾和谐、社保 长三角、成都交子、海融通、春华景智、华兴航科、睿 石德晟、杭州丹贝、晋安三创、富海曦芯、芯能方安、 芯能方华、图灵安捷、共青亚昌辰柠、九安海棠、砺思 星沐、中科蓝讯、七匹狼、聚源振芯、聚源海河、经纬 厦门、经纬创华、中金启辰无锡、中金启辰苏州、综改 试验、谦益永兴、同创伟业、娃哈哈、青岛立涌、新华 文泰、红杉雅恒、晶凯景宽、普华杭州、湘投一村、颍 上德势、国寿资本、丽水巧达、浦信熠芯、源起开来、 苏州溢漕、淳中科技、中证投资、嘉兴瀚舟、前瞻远至、 正和启迪、戎艳琳以合计722,106 万元人民币的投资金 额，认购公司本次发行新股5,051,257 股； 2、本次增资扩股完成后，公司注册资本为14,739,557 元人民币，股份总数为14,739,557 股。"
688802,2025-03,增资,经纬创叁号,,,,week10_adaptive_v1,"报告期第七1、共青亚昌宏硕、电信方舟、混沌投资、嘉兴普超、 次增资 经纬创壹号、经纬创叁号、河南科投、海南泰达、富海 精选二号、卓源芯力、葛卫东、南京智沐曦、交控金石、 金石精密、中金上汽、金华盛赫、联想中小、万石拾壹 号、佛山港粤、晓池摩山、南京盈研、宜宾和谐、社保 长三角、成都交子、海融通、春华景智、华兴航科、睿 石德晟、杭州丹贝、晋安三创、富海曦芯、芯能方安、 芯能方华、图灵安捷、共青亚昌辰柠、九安海棠、砺思 星沐、中科蓝讯、七匹狼、聚源振芯、聚源海河、经纬 厦门、经纬创华、中金启辰无锡、中金启辰苏州、综改 试验、谦益永兴、同创伟业、娃哈哈、青岛立涌、新华 文泰、红杉雅恒、晶凯景宽、普华杭州、湘投一村、颍 上德势、国寿资本、丽水巧达、浦信熠芯、源起开来、 苏州溢漕、淳中科技、中证投资、嘉兴瀚舟、前瞻远至、 正和启迪、戎艳琳以合计722,106 万元人民币的投资金 额，认购公司本次发行新股5,051,257 股； 2、本次增资扩股完成后，公司注册资本为14,739,557 元人民币，股份总数为14,739,557 股。"
688802,2025-03,增资,经纬创壹号,,,,week10_adaptive_v1,"报告期第七1、共青亚昌宏硕、电信方舟、混沌投资、嘉兴普超、 次增资 经纬创壹号、经纬创叁号、河南科投、海南泰达、富海 精选二号、卓源芯力、葛卫东、南京智沐曦、交控金石、 金石精密、中金上汽、金华盛赫、联想中小、万石拾壹 号、佛山港粤、晓池摩山、南京盈研、宜宾和谐、社保 长三角、成都交子、海融通、春华景智、华兴航科、睿 石德晟、杭州丹贝、晋安三创、富海曦芯、芯能方安、 芯能方华、图灵安捷、共青亚昌辰柠、九安海棠、砺思 星沐、中科蓝讯、七匹狼、聚源振芯、聚源海河、经纬 厦门、经纬创华、中金启辰无锡、中金启辰苏州、综改 试验、谦益永兴、同创伟业、娃哈哈、青岛立涌、新华 文泰、红杉雅恒、晶凯景宽、普华杭州、湘投一村、颍 上德势、国寿资本、丽水巧达、浦信熠芯、源起开来、 苏州溢漕、淳中科技、中证投资、嘉兴瀚舟、前瞻远至、 正和启迪、戎艳琳以合计722,106 万元人民币的投资金 额，认购公司本次发行新股5,051,257 股； 2、本次增资扩股完成后，公司注册资本为14,739,557 元人民币，股份总数为14,739,557 股。"
